Plate ID,"Colony Counting - Single Colony Verification - HeLa-RFP - 24-well"
Plate Name,""
Plate Description,"24-well Corning 3526 plate, RFP-Hela Gradient 125, 25, 5, 1 cell/well"
Scan ID,"2012/1/30 15:56:07"
Scan Description,"Day 6"
Scan Result ID,"2026/04/21 22:59:20"
Scan Result Description,""
Software Version,"5.5.1.0"
Experiment Name,""
Application Name,"Single Colony Verification"
Plate Type,"24-Well Corning�?3526 Plate Well Wall"
Acquisition Start/End Times,"2012/1/30 15:56:07 - 2012/1/30 16:20:01"
Analysis Start Time,"2026/04/21 22:59:20"
User ID,"Local Administrator"

Scan Object-Level Data CSV Report

Well,Row,Column,Total,X Position (µm),Y Position (µm),Distance to Nearest Neighbor (µm),Distance to Well Center (µm),Area (µm²),Form Factor,Smoothness,Aspect Ratio,Mean Intensity,Integrated Intensity
A1,A,1,True,-4.84525292798389,-6780.15275355096,1255.99006468254,6780.15448481527,36117,0.54863260390438,0.832769977662484,0.773825358166683,78.2447047096935,313996
A1,A,1,True,1941.29076086956,-6373.18206521739,980.678618757991,6662.28635339597,19872,0.555766717082768,0.841131477778065,0.745797065919643,79.164402173913,174795
A1,A,1,True,-2225.90366088632,-6066.34360950546,1053.54457689027,6461.82419260497,42039,0.534390534816644,0.802551797469259,0.938129285854186,91.7388139584671,428512
A1,A,1,True,911.366429587482,-5921.04438122333,171.357620815596,5990.77251557722,31635,0.485331619038476,0.875016637882254,0.532734058354491,95.975533428165,337354
A1,A,1,True,1081.5868,-5901.335,171.357620815596,5999.63205439794,45000,0.494516403310989,0.822714931045915,0.511627602197489,96.5846,482923
A1,A,1,True,-3922.04643309413,-5721.06120726045,1076.36619165729,6936.35275635307,42642,0.611217957856292,0.848066070038164,0.788603250584686,78.0468552131701,369786
A1,A,1,True,-1480.48492257539,-5321.82559087205,893.768180978311,5523.91738041344,33129,0.629213225371814,0.872877127643593,0.687053240114896,104.744362944852,385564
A1,A,1,True,-4724.67963152508,-5003.88331627431,172.411477739123,6881.96526171386,26379,0.493701388103009,0.85782557594405,0.579357355638894,79.5264414875469,233092
A1,A,1,True,-4708.24324324324,-4832.25708635465,172.411477739123,6746.72238840241,40959,0.578007854596337,0.839936601869502,0.723954611575751,81.8086134915403,372311
A1,A,1,True,-2183.09846625767,-4688.5273006135,533.778329139574,5171.86689329633,29340,0.663124995121311,0.861438533415018,0.822888817549076,109.729141104294,357717
A1,A,1,True,-3289.25344467641,-4549.49895615866,751.494025078389,5614.01184318348,21555,0.701736804633058,0.889987292523023,0.840778480453204,103.608350730689,248142
A1,A,1,True,-913.321541377132,-4547.29185091598,132.206357284298,4638.10515354605,28494,0.523329474332144,0.849995320807375,0.512130602013078,112.160138976627,355099
A1,A,1,True,-1045.38354482194,-4541.11543184609,132.206357284298,4659.8879944839,21987,0.43684641300639,0.828741649624329,0.466465541726218,112.204666393778,274116
A1,A,1,True,-2572.54856361149,-4323.49589603283,533.778329139574,5030.96639574866,26316,0.491648402013513,0.791258444515335,0.842440592258351,111.453830369357,325891
A1,A,1,True,4344.24418895276,-3946.98425393652,1486.64841654034,5869.50954288965,36009,0.620950924010424,0.86563478131879,0.75173976356241,92.670832291927,370776
A1,A,1,True,-862.580696202531,-3543.11075949367,587.622693703078,3646.59832055864,17064,0.629746581736628,0.879047727693848,0.822027019299088,120.319620253165,228126
A1,A,1,True,-1381.15838926174,-3266.74577181208,587.622693703078,3546.72051815197,33525,0.496407284709851,0.802963363257509,0.775688849324945,120.19677852349,447733
A1,A,1,True,3040.8920825712,-3231.8641233342,161.104940835592,4437.56356230973,34443,0.551728004269557,0.846164429259192,0.662970045838966,116.068722236739,444195
A1,A,1,True,2879.87861271676,-3226.43600330306,161.104940835592,4324.76474590163,32697,0.66618760279023,0.915871622363415,0.625872377498894,115.555188549408,419812
A1,A,1,True,5987.39453125,-2833.61959134615,862.857161479251,6624.06923735729,29952,0.552856309572844,0.820893612543716,0.875308362825226,72.4098557692308,240980
A1,A,1,True,-184.613738350017,-2822.40697273041,936.971697239464,2828.43832389975,26073,0.708035332370307,0.892027270095347,0.802792642883937,124.342078011736,360219
A1,A,1,True,2108.79199029126,-2811.16359223301,627.159739220784,3514.20608397017,37080,0.555019554236356,0.804288348964716,0.794921900607721,123.00145631068,506766
A1,A,1,True,2721.81570338059,-2678.75790621592,570.03085998637,3818.9035917765,24759,0.613498089350173,0.839713088768721,0.857073243995085,120.62159214831,331830
