Plate ID,Colony Counting - Single Colony Verification - HeLa-RFP - 24-well
Plate Name,Plate1
Plate Description,24-well Corning 3526 plate, RFP-Hela Gradient 125, 25, 5, 1 cell/well
Scan ID,
Scan Description,
Scan Result ID,
Scan Result Description,
Software Version,5.5.1.0
Experiment Name,
Application Name,Single Colony Verification
Plate Type,24-Well Corning 3526 Plate Well Wall
Acquisition Start/End Times,
Analysis Start Time,
User ID,Local Administrator

Scan Object-Level Data CSV Report

Well,Row,Column,Total,X Position (um),Y Position (um),Distance to Nearest Neighbor (um),Distance to Well Center (um),Area (um2),Form Factor,Smoothness,Aspect Ratio,Mean Intensity,Integrated Intensity
A1,A,1,True,-4.84525,-6780.15,1255.99,6780.15,36117,0.548633,0.83277,0.773825,78.2447,313996
A1,A,1,True,1941.29,-6373.18,980.679,6662.29,19872,0.555767,0.841131,0.745797,79.1644,174795
A1,A,1,True,-2225.9,-6066.34,1053.54,6461.82,42039,0.534391,0.802552,0.938129,91.7388,428512
A1,A,1,True,911.366,-5921.04,171.358,5990.77,31635,0.485332,0.875017,0.532734,95.9755,337354
A1,A,1,True,1081.59,-5901.34,171.358,5999.63,45000,0.494516,0.822715,0.511628,96.5846,482923
A1,A,1,True,-3922.05,-5721.06,1076.37,6936.35,42642,0.611218,0.848066,0.788603,78.0469,369786
A1,A,1,True,-1480.48,-5321.83,893.768,5523.92,33129,0.629213,0.872877,0.687053,104.744,385564
A1,A,1,True,-4724.68,-5003.88,172.411,6881.97,26379,0.493701,0.857826,0.579357,79.5264,233092
A1,A,1,True,-4708.24,-4832.26,172.411,6746.72,40959,0.578008,0.839937,0.723955,81.8086,372311
A1,A,1,True,-2183.1,-4688.53,533.778,5171.87,29340,0.663125,0.861439,0.822889,109.729,357717
A1,A,1,True,-3289.25,-4549.5,751.494,5614.01,21555,0.701737,0.889987,0.840778,103.608,248142
A1,A,1,True,-913.322,-4547.29,132.206,4638.11,28494,0.523329,0.849995,0.512131,112.16,355099
A1,A,1,True,-1045.38,-4541.12,132.206,4659.89,21987,0.436846,0.828742,0.466466,112.205,274116
A1,A,1,True,-2572.55,-4323.5,533.778,5030.97,26316,0.491648,0.791258,0.842441,111.454,325891
A1,A,1,True,4344.24,-3946.98,1486.65,5869.51,36009,0.620951,0.865635,0.75174,92.6708,370776
A1,A,1,True,-862.581,-3543.11,587.623,3646.6,17064,0.629747,0.879048,0.822027,120.32,228126
A1,A,1,True,-1381.16,-3266.75,587.623,3546.72,33525,0.496407,0.802963,0.775689,120.197,447733
A1,A,1,True,3040.89,-3231.86,161.105,4437.56,34443,0.551728,0.846164,0.66297,116.069,444195
A1,A,1,True,2879.88,-3226.44,161.105,4324.76,32697,0.666188,0.915872,0.625872,115.555,419812
A1,A,1,True,5987.39,-2833.62,862.857,6624.07,29952,0.552856,0.820894,0.875308,72.4099,240980
A1,A,1,True,-184.614,-2822.41,936.972,2828.44,26073,0.708035,0.892027,0.802793,124.342,360219
A1,A,1,True,2108.79,-2811.16,627.16,3514.21,37080,0.55502,0.804288,0.794922,123.001,506766
A1,A,1,True,2721.82,-2678.76,570.031,3818.9,24759,0.613498,0.839713,0.857073,120.622,331830
A1,A,1,True,1247.32,-2445.16,216.337,2744.92,18486,0.361695,0.713368,0.529804,125.63,258044
A1,A,1,True,1031.88,-2425.43,158.344,2635.81,15588,0.400236,0.822693,0.418353,125.897,218053
A1,A,1,True,873.551,-2423.46,158.344,2576.09,32274,0.446282,0.754302,0.891756,124.747,447342
A1,A,1,True,661.832,-2420.6,211.738,2509.45,17424,0.69426,0.889911,0.752213,124.37,240781
A1,A,1,True,6227.52,-2004.85,862.857,6542.28,59580,0.379211,0.743896,0.566896,73.2825,485130
A1,A,1,True,-1238.28,-1988.51,873.258,2342.54,54198,0.531414,0.79881,0.986764,124.944,752414
A1,A,1,True,566.689,-1883.66,545.308,1967.06,20196,0.616769,0.856682,0.744868,125.57,281780
A1,A,1,True,1841,-1800.32,876.515,2574.96,26892,0.621361,0.851399,0.903133,125.871,376102
A1,A,1,True,5029.13,-1583.98,157.736,5272.67,34524,0.589884,0.83653,0.911348,104.221,399791
A1,A,1,True,4871.39,-1583.12,157.736,5122.18,20763,0.53044,0.85819,0.542229,104.375,240792
A1,A,1,True,112.916,-1230.89,794.995,1236.06,46773,0.585252,0.832233,0.778957,126.769,658820
A1,A,1,True,-1171.24,-1117.83,192.227,1619.06,61101,0.660401,0.869402,0.735985,125.05,848966
A1,A,1,True,4691.58,-1046.8,124.62,4806.94,17352,0.564358,0.866231,0.664697,107.82,207876
A1,A,1,True,-1196.39,-927.253,192.227,1513.65,27513,0.524976,0.908736,0.450951,125.431,383442
A1,A,1,True,4696.81,-922.288,124.62,4786.51,17145,0.499156,0.791429,0.598507,107.887,205524
A1,A,1,True,-4345.83,-845.632,294.891,4427.34,18855,0.563925,0.82713,0.9023,112.582,235860
A1,A,1,True,-4261.02,-563.2,294.891,4298.08,41445,0.589626,0.829907,0.899142,112.99,520320
A1,A,1,True,2626.05,-336.55,511.053,2647.53,38061,0.687806,0.884637,0.806035,124.283,525593
A1,A,1,True,4567.7,-324.779,306.513,4579.23,31581,0.595101,0.845962,0.846878,110.163,386561
A1,A,1,True,3533.16,-308.645,692.963,3546.61,18882,0.374352,0.713136,0.732064,120.192,252163
A1,A,1,True,4845.36,-194.949,139.787,4849.28,26127,0.56104,0.844048,0.736228,106.043,307843
A1,A,1,True,4985.12,-192.234,139.787,4988.82,17352,0.551277,0.897708,0.573079,106.325,204995
A1,A,1,True,-2581.15,-184.23,868.063,2587.72,15777,0.547925,0.838837,0.71094,123.778,216982
A1,A,1,True,2138.38,-183.736,511.053,2146.26,31338,0.511106,0.794349,0.741861,124.984,435196
A1,A,1,True,4201.34,-124.994,417.29,4203.2,18126,0.693056,0.883337,0.865585,113.202,227989
A1,A,1,True,-6667.46,6.98627,2473.07,6667.47,27522,0.592589,0.838085,0.79558,85.2492,260692
A1,A,1,True,1409.17,10.3895,391.673,1409.21,32652,0.516722,0.791438,0.908106,126.851,460215
A1,A,1,True,-3429.43,160.102,477.637,3433.17,23526,0.534236,0.855447,0.640379,118.16,308870
A1,A,1,True,5471.89,205.988,628.912,5475.77,58311,0.474262,0.799977,0.735847,95.0871,616069
A1,A,1,True,1690.05,283.361,391.673,1713.64,49275,0.578926,0.868114,0.606087,126.157,690710
A1,A,1,True,2690.46,481.562,820.644,2733.21,39888,0.527816,0.786664,0.929515,122.479,542826
A1,A,1,True,-1525.73,485.118,550.379,1601,40311,0.654826,0.864046,0.781255,124.538,557805
A1,A,1,True,-3161.34,555.407,477.637,3209.76,21951,0.464785,0.788521,0.868244,118.9,289996
A1,A,1,True,-2569.39,683.753,605.71,2658.81,32004,0.545358,0.839109,0.737052,123.324,438539
A1,A,1,True,-1127.76,865.293,175.587,1421.47,43749,0.571843,0.828845,0.822564,123.724,601422
A1,A,1,True,3762.35,894.529,1018.19,3867.23,17829,0.52302,0.807153,0.867775,115.494,228793
A1,A,1,True,-1109.27,1039.9,175.587,1520.49,18990,0.634222,0.926374,0.551293,124.023,261688
A1,A,1,True,2142.68,1351.12,1027.71,2533.1,25083,0.679945,0.892388,0.796207,122.819,342296
A1,A,1,True,4368.93,1712.32,859.249,4692.5,37134,0.547902,0.81932,0.959948,107.938,445354
A1,A,1,True,-4087.02,2034.46,1744.85,4565.39,31428,0.657156,0.858852,0.99286,113.783,397329
A1,A,1,True,4427.22,2569.59,808.899,5118.89,19701,0.665301,0.867224,0.887843,103.856,227341
A1,A,1,True,-5924.69,2722.77,1962.35,6520.39,33660,0.5783,0.842905,0.702609,90.2706,337612
A1,A,1,True,5071.19,3059.09,808.899,5922.42,28485,0.56681,0.827149,0.80417,86.5014,273777
A1,A,1,True,2219.55,3789.01,2439.1,4391.24,18306,0.747199,0.912536,0.862392,110.17,224086
A1,A,1,True,-2289.78,4862.54,148.656,5374.69,21132,0.597476,0.885423,0.689906,102.666,241059
A1,A,1,True,-2290.47,5011.19,148.656,5509.83,25893,0.716623,0.909677,0.705295,103.197,296898
A1,A,1,True,-3780.75,5296.86,896.329,6507.75,30960,0.716527,0.888304,0.762102,81.307,279696
A1,A,1,True,-1868.89,5545.4,680.516,5851.85,16155,0.565149,0.847918,0.788213,95.3175,171095
A1,A,1,True,-3547.02,6162.18,896.329,7110.12,16110,0.577031,0.881789,0.560279,63.767,114143
A2,A,2,True,-1928.74,-6608.53,433.321,6884.24,37152,0.566542,0.840688,0.759336,84.3728,348291
A2,A,2,True,-1636.64,-6288.46,433.321,6497.95,51948,0.598073,0.835852,0.887406,92.9802,536682
A2,A,2,True,1527.58,-6155.48,726.539,6342.2,68112,0.626207,0.849528,0.847671,95.5768,723325
A2,A,2,True,1766.12,-5469.22,726.539,5747.3,30357,0.571018,0.824549,0.702319,106.829,360333
A2,A,2,True,3577.49,-5301.43,1498.64,6395.59,24129,0.44966,0.77363,0.718653,88.7464,237929
A2,A,2,True,-1402.77,-5214.57,1099.07,5399.95,56385,0.599812,0.839029,0.879935,110.319,691149
A2,A,2,True,-5623.25,-4690.98,1831.68,7322.99,57384,0.498831,0.795336,0.898206,74.0011,471831
A2,A,2,True,5045.45,-4576.08,165.241,6811.54,40635,0.650732,0.868127,0.781639,75.0868,339017
A2,A,2,True,4880.84,-4561.71,165.241,6680.7,17145,0.475538,0.889022,0.395807,76.5727,145871
A2,A,2,True,1678,-4550.49,549.608,4850.02,16281,0.624754,0.838292,0.752743,115.858,209587
A2,A,2,True,-116.978,-4543.68,1013.58,4545.19,70200,0.595379,0.833249,0.793826,118.129,921410
A2,A,2,True,1142.36,-4427.39,255.808,4572.39,92565,0.5723,0.821431,0.876646,118.718,1.22102e+06
A2,A,2,True,887.359,-4407.11,255.808,4495.55,49140,0.491515,0.856761,0.665982,118.089,644764
A2,A,2,True,4718.66,-4142.52,449.467,6279.03,44856,0.624864,0.836422,0.94708,88.808,442619
A2,A,2,True,-3083.9,-3950.29,2103.48,5011.51,28800,0.524706,0.81983,0.789328,116.719,373502
A2,A,2,True,5463.24,-3758.57,837.75,6631.28,35361,0.616759,0.846941,0.815313,80.5111,316328
A2,A,2,True,-521.58,-3606.14,1021.12,3643.67,66339,0.569305,0.817295,0.787104,123.3,908844
A2,A,2,True,1476.63,-3572.13,918.259,3865.3,84654,0.489883,0.754573,0.856576,123.275,1.15952e+06
A2,A,2,True,-5672.67,-2859.96,1629.55,6352.84,16839,0.665052,0.849565,0.792118,100.663,188340
A2,A,2,True,4616.01,-2629.69,1071.42,5312.51,32229,0.630588,0.866864,0.976054,108.153,387295
A2,A,2,True,-741.904,-2515.57,584,2622.7,39213,0.703194,0.873731,0.944752,126.401,550731
A2,A,2,True,203.945,-2336.96,611.037,2345.84,50796,0.579618,0.815442,0.829721,128.785,726864
A2,A,2,True,2531.85,-2331.88,1017.72,3442.09,33462,0.588081,0.835452,0.849218,125.657,467191
A2,A,2,True,6140.19,-2315.47,936.038,6562.26,48186,0.508333,0.787997,0.716479,81.3495,435545
A2,A,2,True,-1235.14,-2202.89,584,2525.53,67941,0.599758,0.818487,0.921875,127.517,962623
A2,A,2,True,-4146.09,-2132.17,1691.19,4662.21,39978,0.496441,0.803639,0.79255,119.012,528651
A2,A,2,True,3710.28,-2057.31,1071.42,4242.49,50562,0.597261,0.817874,0.909118,122.311,687144
A2,A,2,True,1591.49,-1942.69,1017.72,2511.35,50787,0.480174,0.75737,0.82718,128.607,725729
A2,A,2,True,442.738,-1774.51,611.037,1828.91,53847,0.649815,0.846894,0.839878,129.417,774299
A2,A,2,True,5196.36,-1720.51,782.533,5473.79,41967,0.601543,0.851112,0.926829,107.89,503090
A2,A,2,True,5913.48,-1407.3,782.533,6078.63,45063,0.576902,0.830922,0.809913,94.0411,470864
A2,A,2,True,-6286.18,-1350.32,1176.44,6429.58,42669,0.659984,0.865385,0.941633,99.63,472346
A2,A,2,True,-2228.28,-1097.37,176.115,2483.84,39132,0.694184,0.888599,0.809755,127.749,555454
A2,A,2,True,-2214.83,-921.772,176.115,2398.99,23562,0.504204,0.826513,0.735602,127.168,332925
A2,A,2,True,1790.74,-795.71,1164.16,1959.57,25884,0.513172,0.776933,0.929774,128.616,369899
A2,A,2,True,-144.571,-708.604,1217,723.201,15120,0.632399,0.866519,0.83664,130.255,218829
A2,A,2,True,-5468.03,-504.949,1176.44,5491.3,44325,0.549625,0.81851,0.933698,111.088,547106
A2,A,2,True,6665.49,-465.408,1205.27,6681.72,56709,0.404688,0.746772,0.710022,67.6875,426499
