Plate ID,Colony Counting - Single Colony Verification - HeLa-RFP - 24-well
Plate Name,Plate1
Plate Description,24-well Corning 3526 plate, RFP-Hela Gradient 125, 25, 5, 1 cell/well
Scan ID,
Scan Description,
Scan Result ID,
Scan Result Description,
Software Version,5.5.1.0
Experiment Name,
Application Name,Single Colony Verification
Plate Type,24-Well Corning 3526 Plate Well Wall
Acquisition Start/End Times,
Analysis Start Time,
User ID,Local Administrator

Measurement Plate Maps
Well,Colony Count,Colony AVG Area (um2),Colony SD Area (um2),Colony Total Area (um2),AVG Intensity,SD Intensity,AVG Integrated Intensity,SD Integrated Intensity
A1,72,30029.2,11112.6,2.16211e+06,108.901,16.4149,361939,144164
A2,77,42581.8,18325.2,3.2788e+06,109.21,17.3689,518650,251446
A3,107,43093.1,17602.4,4.61096e+06,111.643,18.366,534396,237340
A4,106,43677,19999.2,4.62976e+06,110.714,21.6821,540156,266996
A5,114,43314.3,17525.4,4.93783e+06,110.812,16.9268,534829,237394
A6,85,35014.7,15239.3,2.97625e+06,106.537,18.699,419000,204501
B1,15,47306.4,14988.5,709596,95.352,15.6461,505590,191835
B2,28,48997.6,22052,1.37193e+06,106.873,19.5419,589478,294596
B3,20,54958.9,20348.5,1.09918e+06,108.154,19.0229,660994,279405
B4,22,41789.9,16102.8,919377,112.397,13.4154,521891,206632
B5,37,46487.7,20574.9,1.72004e+06,103.753,16.8921,536073,254686
B6,17,44786.1,18554.3,761364,105.635,19.8992,538083,270211
C1,6,43197,14178.5,259182,89.0756,23.1338,445800,215445
C2,8,55931.6,24206.5,447453,116.313,12.9885,733121,348772
C3,5,50122.8,25031.8,250614,95.8247,24.4523,570007,421227
C4,5,31669.2,8472.69,158346,114.71,7.75342,408854,127017
D2,2,30901.5,15799.5,61803,125.514,0.525318,431874,222144
D3,1,83772,0,83772,118.516,0,1.10314e+06,0
D4,1,80271,0,80271,116.868,0,1.04234e+06,0
D5,1,33084,0,33084,93.7677,0,344690,0
D6,1,36549,0,36549,124.556,0,505820,0
