Plate ID,Colony Counting - Single Colony Verification - HeLa-RFP - 24-well
Plate Name,Plate1
Plate Description,24-well Corning 3526 plate, RFP-Hela Gradient 125, 25, 5, 1 cell/well
Scan ID,
Scan Description,
Scan Result ID,
Scan Result Description,
Software Version,5.5.1.0
Experiment Name,
Application Name,Single Colony Verification
Plate Type,24-Well Corning 3526 Plate Well Wall
Acquisition Start/End Times,
Analysis Start Time,
User ID,Local Administrator

Measurement Plate Maps
Well,Colony Count,Colony AVG Area (um2),Colony SD Area (um2),Colony Total Area (um2),AVG Intensity,SD Intensity,AVG Integrated Intensity,SD Integrated Intensity
A1,72,29923.2,11055.9,2.15447e+06,108.78,16.4038,360228,143296
A2,75,42995.2,18082.9,3.22464e+06,109.386,17.1995,523966,248337
A3,109,43270.2,17361.8,4.71645e+06,111.227,18.5628,534951,234938
A4,106,43399.5,20042.2,4.60035e+06,110.96,21.1529,536243,265722
A5,116,43304.5,17377.2,5.02332e+06,110.659,16.7845,533775,234625
A6,85,34792.7,15175,2.95738e+06,106.41,18.6845,415901,203276
B1,15,47077.2,14847.5,706158,95.2256,15.6472,502514,190227
B2,28,48751.7,21931.8,1.36505e+06,106.738,19.5315,585774,292156
B3,20,54750.6,20251,1.09501e+06,108.035,19.0059,657492,277503
B4,22,41600.9,15908.4,915219,112.275,13.4056,519069,204409
B5,37,46332.5,20503.6,1.7143e+06,103.629,16.8843,533521,253295
B6,18,42964.5,18981.7,773361,104.16,20.1238,513005,275123
C1,5,44784,14850.8,223920,94.4673,21.4392,485400,210955
C2,8,55719,24015,445752,116.164,12.9771,729407,345733
C3,4,50346,27455.6,201384,106.401,13.0841,635076,433849
C4,5,31611.6,8454.15,158058,114.549,7.75405,407472,126380
D2,2,31005,15408,62010,125.368,0.562617,432856,216568
D3,1,83448,0,83448,118.371,0,1.09754e+06,0
D4,1,79578,0,79578,116.725,0,1.03208e+06,0
D5,1,33012,0,33012,93.6679,0,343574,0
D6,1,36162,0,36162,124.402,0,499847,0
